step,episode,epoch,epoch step,epoch_episode,episode step,score,epsilon,beta,avg_pos_reward_ratio,avg_neg_reward_ratio,avg_loss
15,0,0,15,1,14,0.0,1.5,,0.0,0.0,0.0
29,1,0,29,2,13,0.0,1.4969999999999999,,0.0,0.0,0.0
43,2,0,43,3,13,0.0,1.494006,,0.0,0.0,0.0
57,3,0,57,4,13,0.0,1.4910179879999998,,0.0,0.0,0.0
72,4,0,72,5,14,0.0,1.4880359520239999,,0.0,0.0,0.00012652653276745696
92,5,0,92,6,19,0.0,1.485059880119952,,0.0,0.0,8.51425013804276e-05
106,6,0,106,7,13,0.0,1.482089760359712,,0.0,0.0,7.175469736033673e-05
137,7,0,137,8,30,0.05000000074505806,1.4791255808389927,,0.0,0.0,5.737777673352361e-05
151,8,0,151,9,13,0.0,1.4761673296773148,,0.0,0.0,5.40242677151434e-05
165,9,0,165,10,13,0.0,1.47321499501796,,0.0,0.0,4.8745654839876804e-05
180,10,0,180,11,14,0.0,1.4702685650279241,,0.0,0.0,4.442627166632707e-05
194,11,0,194,12,13,0.0,1.4673280278978682,,0.0,0.0,4.216577431529563e-05
226,12,0,226,13,31,0.05000000074505806,1.4643933718420725,,0.0,0.0,4.00764988906887e-05
240,13,0,240,14,13,0.0,1.4614645850983883,,0.0,0.0,3.878583223385331e-05
272,14,0,272,15,31,0.05000000074505806,1.4585416559281914,,0.0,0.0,3.212977102975856e-05
286,15,0,286,16,13,0.0,1.455624572616335,,0.0,0.0,2.8914244680890988e-05
317,16,0,317,17,30,0.05000000074505806,1.4527133234711023,,0.0,0.0,2.9318124857127258e-05
331,17,0,331,18,13,0.0,1.4498078968241601,,0.0,0.0,2.7154197164236392e-05
363,18,0,363,19,31,0.05000000074505806,1.4469082810305118,,0.0,0.0,2.925274206518225e-05
377,19,0,377,20,13,0.0,1.4440144644684507,,0.0,0.0,3.176185362917749e-05
391,20,0,391,21,13,0.0,1.441126435539514,,0.0,0.0,3.4912293399429474e-05
405,21,0,405,22,13,0.0,1.438244182668435,,0.0,0.0,3.7677398390769666e-05
419,22,0,419,23,13,0.0,1.435367694303098,,0.0,0.0,3.82821166431313e-05
433,23,0,433,24,13,0.0,1.4324969589144918,,0.0,0.0,3.8759140538786595e-05
463,24,0,463,25,29,0.05000000074505806,1.429631964996663,,0.0,0.0,4.1281648136646255e-05
477,25,0,477,26,13,0.0,1.4267727010666695,,0.0,0.0,4.34167067760427e-05
491,26,0,491,27,13,0.0,1.423919155664536,,0.0,0.0,4.301169117752579e-05
505,27,0,505,28,13,0.0,1.421071317353207,,0.0,0.0,4.263464378709614e-05
519,28,0,519,29,13,0.0,1.4182291747185005,,0.0,0.0,4.0534902618674094e-05
534,29,0,534,30,14,0.0,1.4153927163690636,,0.0,0.0,4.112870283279335e-05
565,30,0,565,31,30,0.05000000074505806,1.4125619309363255,,0.0,0.0,3.904442984094203e-05
596,31,0,596,32,30,0.05000000074505806,1.409736807074453,,0.0,0.0,3.307169159597834e-05
610,32,0,610,33,13,0.0,1.406917333460304,,0.0,0.0,3.21977216481173e-05
